URL,Title,Brand,Price,Num of Ratings,Scores,Reviews,product_id,Answered Qs
https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4,Redmi 12C 4GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY,Redmi,27799,150,4.4,"Redmi ke Achi product ha.Softwear update kerna ka bad performance or be best ho gya ha. .Daraz 11 11 ma double discount(22500) per muje mil gya ha . Value for money Product ha . Recommended kerta ho ap is sealer sa product la.\n,  #11.11 I am thrilled with my experience. The mobile arrived in pristine condition, securely packed to ensure its safety during transit. Not only did it meet my expectations, but I also received the warranty card without any hassle. Thanks to Daraz and seller for providing a seamless shopping experience, and I highly recommend the Redmi 12C for its excellent condition and performance 11.11 Sale Once again thanks Daraz for this biggest sale\n,  same as shown delivered on time. safely reached mobile to me. no damages. all okay. keep it up. recommended seller. happy shoping with draz. this is my second cell phone through draz platform🥰\n,  same as shown delivered on time. safely reached mobile to me. no damages. all okay. keep it up. recommended seller. happy shoping with draz. this is my second cell phone through draz platform🥰\n,  good product original Jive Shala Mera Veer Allah Barkat Deve aamin bahut Achcha discount Diya product be originally Diye ISI Tarah kam karte raho come profit mein Barkat hai thanks shahzade thanks daraz good job\n,  Zabardast mobile hai aur #11.11 ki sale main buy kia hai discount b buht zabardast mila hai thanks to daraz and seller. mobile zabardast chal raha hai jaisa btya tha bilkul waisa e hai. #11.11 pay order kia aur dosray din hi deliver b ho gya maza aa gya. 😇😊\n,  مجھے daraz 11.11 کی سیل میں زبردست discount ملا اور موبائل بھی اوریجنل pin pack بھی ہے شکریہ daraz میں ایک اور موبائل لینے کی سوچ رہا ہوں\n,  Received the original PTA approved Mobile Phone in 11.11 camping with the discount voucher of 3500, and it is working fine, The seller is authentic and trustable, would like to order more products from this seller in future. #11.11\n,  #11.11 Redmi 12c Is Best Mobile Phone In This price Range. I Like Most In This Mobile is Powerful Chipset Helio G85. And 128Gb storage. Otherwise Camera Is Average And Charging Is Quite Slow Because Of 10W Charger. First Time I Bought Mobile From Daraz. Good Experience But Delivery Is Late. But Thanks Daraz For Amazing Sales And Discounts. 👍❤\n",1a8ac6c6-2919-4bc0-beae-3f82c174c612,0
https://www.daraz.pk/products/like-new-phones-used-apple-iphone-x-silver-256-gb-pta-approved-i435087172-s2088535157.html?spm=a2a0e.searchlist.sku.2.4b404af4x2ZsjH&search=1,Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved,Apple,106999,1,5,"Received as promised almost 10/10 condition genuine phone with genuine parts no issue found. Thanks will buy again in shaa allah\n,  Received as promised almost 10/10 condition genuine phone with genuine parts no issue found. Thanks will buy again in shaa allah\n,  Received as promised almost 10/10 condition genuine phone with genuine parts no issue found. Thanks will buy again in shaa allah\n",b12bf6ea-0dbf-4cc8-8318-53227bad3283,0
"https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4, https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4","Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty, None",Realme,32999,82,4.1,"#11.11 PTA approved device received safely. Mobile battery was low and required charging before getting on.\n,  everything is perfect colour b same aya..😇 I am so happy thanks Daraz ..❤ highly recommended... 👌👍\n,  good mobile same as shown in the picture 😺 reviews dekh ky tu dar gaya tha but ❤️ genuine product hy pin pack pta approved and non active\n, "" I get the mobile its pta approved but made of Vietnam also its doesnt have charger thats the negative point , get the mobile on discounted rate in #11.11 . hopefully it will work for a long time 😃\n"", "" phone was brand new, box packed, came in secure packaging,cant see the PTA sticker,, but seller said it is approved,, so i believe seller words😊.\n"",  Got this in just Rs.26419 while market price is still Rs.30000. Thanks to Daraz 11.11 Exactly same as described. delivered in just 2 days. its my 4th cell phone purchase from Daraz. Amazing experience as always\n,  Yr bht he sasta mila sale mai market mai 35 ka hai 128gb or wholesale mai bhi 31 se kam mai nahi hai or dosra non active hai vip hogia mene online check kia hai original packing mai tha thanks bhai jan\n,  Buhat Acha Mobile hai 100% Original products thanks Daraz Thanks seller\n,  Mobile is the same as shown in the picture... Original product. Charger not available in the box.Satisfied with the product but delivery was far away from expectations\n",de3ed61a-92b5-4a84-9462-e919e4f786b6,133
"https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4, https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4","Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty, None",Infinix,64499,132,4.7,"I got what was shown, but I want to tell about the seller that my chat was not responded even after a couple of days, so please make your availability there so that the customer can place the order with full sitesify. Because the amount matters But my goal was to buy the product from there, so I took what I have and it is 💯 %authentic, and the warranty has not started yet, But the handsfree did not come out of the box, maybe not provided by the company. So the Overall experience was great and the seller is highly recommended. Thanks Daraz & Seller.🥰\n,  Great Experience as usual and I have purchased many mobiles from DARAZ but this time get maximum discount in 11/11 Sales on Note 30 pro\n,  Allahamdolilah received📩 mobile is original and new as mentioned recommended for buying. same thing which is ordered rather late delivered\n,  Acha mobile hai and same cheez delivered ki hai with fast delivery service, satisfied with daraz and seller, i bought many mobiles from daraz aj tak koi b mobile kharab nhe nikla, thanks daraz for maintenance of trust with customers. love from Rawalpindi\n,  Allahamdolilah received📩 mobile is original and new as mentioned recommended for buying. same thing which is ordered rather late delivered\n,  I received my parcel two days ago. genuine products hai ❤️❤️aur time pr delivered hua.😍 Dill khush ho gia cell dekh kr thank you so much bhai🥰\n,  buht acha phone ha original phone one year official warranty ha ❤❤\n,  real mobile set with complete box having wire charger wireless charger. jack pin with non active phone set. this is non active mobile set. i really very happy. thanks dear\n,  bahot acha mobile hy thanks daraz and seller\n",03dde89d-7e0c-4f5a-9b14-85a08859cd20,202
https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4,Tecno CAMON 20 8GB RAM-256GB ROM 5000MAH BATTERY PTA APPROVED OFFICIAL BRAND WARRANTY,Tecno,48599,257,4.6,"Mobile received 2 days before delivery date. Mobile has all accessories. Mobile is looking good. But the warranty card has no information about Mobile (like IMEI number, purchase date, etc.)\n,  looks original proper pinpacked\n,  The Product is original and branded, The quality is best. Thanks Daraz.\n,  The cell phone is too good, the delivery service late. Good phone at this price. purchase on Installment by standard chartered Bank, at 3 equal installments without any mark up. Store coupon also used, after its final price was 44000\n,  Firstly the Seller Was Non Responsive Nearly After Ten Days I Got the Response From Him, Then k Delivery Was Very Late, Waited For Nearly 12 Days But The Product Was Amazing, Box Was Pin Packed & Got the Same Color, the Seller Is Trustable & I Got This Phone On 11/11 Sale In Just 42500 Where As the Market Price Is 47000. This Phone Outclassed other Phones & Brands. The Specifications Are Amazing In this Pricetag, No Any Other Brand Offer These Specifications in Price. Value For Money Product,\n,  “I am thoroughly impressed with the Tecno mobile I received. It’s not only a wonderful phone in terms of performance but also the seller’s attention to detail is much appreciated. The phone arrived with the seal intact, which reflects the seller’s commitment to delivering quality and genuine products. This not only gives me confidence in the authenticity of the device but also in the seller’s reliability. The phone itself has exceeded my expectations, offering great features and performance.\n,  I had an amazing experience with this store! The customer service was top-notch, and the product exceeded my expectations. I highly recommend them to anyone looking for quality products and excellent service.\n, "" seller didnt mark stamp on warranty card . when its warranty has started and when to end? how to claim its warranty if any issue happens but product received new and boxed pack.\n"", "" The product was delivered same as per its description, Item was Delivered in given time. excellent 💯 product in this price. Thanks to Seller Tecno and Thanks to Draz.\n""",1095ec4c-b8a3-48b1-81fb-de393feb5743,0
https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4,Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Black 64 GB - PTA Approved,Apple,70999,2,3,"awesome condition...very light and tiny scratch....91 percent battery...\n,  awesome condition...very light and tiny scratch....91 percent battery...\n,  awesome condition...very light and tiny scratch....91 percent battery...\n",622aea20-f9a5-4772-91a4-35c46aea9f37,0
https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4,Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,Xiaomi,22499,357,4.7,"achhi packing but charging adapter was normal no handsfree no protector no mobile cover baqi use kr ke pta chalay ga dekhnay nice hai\n,  Alhamdulillah same recieved as shown in picture. Same specifications A1 condition and fast delivery. Thanks Daraz. i recmond it and i order one more.\n,  mobile is just go0d. average in use.. bettery timing is go0d.. camera is just average. overall ghar use k lia thek hai jaha bs call waghaira k lia instmal hota ho\n, "" I upgraded my stand by phone from A1+ to A2+. I received this phone in great packaging. Delivery was fast. Phone seems a little better than A1+. I wish it would have Type C charging. Im surprised to see the camera quality, display and battery timing of this phone. A perfect phone in this range with very few compromises. Highly recommended.\n"",  Assalamu Alaikum, Thank God & Thanks Daraz Team & Wander/seller (XIAOMI). Good Packing & Short Delivery time. Original Product 100%. Recommended. Khushe hai ke AAZADI SALE mai itny Best Price main Redmi A2+ Offer kiya gya, Thanks Daraz app.\n,  I recently ordered a phone , and I must say it was a convenient experience. The website had a user-friendly interface, making it easy to browse and compare options. Placing the order was straightforward, and they provided clear shipping information. The phone arrived in good condition and on time. Overall, a hassle-free online phone shopping experience.\n,  received my order .The product is very good .I am satisfied with Daraz and the seller response is good .But LCS service is poor due to not deliver my parcel to me not to inform me and delivered my parcel any other address.\n,  Very good quality and design. Mobile is genuine and working fine so far. Delivery was quite quick and I received the mobile next day of ordering. price was competitive with market. thank you Daraz.\n,  Genuine product and good cell phone in this range .. got at the lowest price through HBL Mega Deal 👍 .. Properly packed and timely delivered .. Satisfied with the seller 🙂 .. Cheers 🙂 !! #11.11\n",61fcafcc-6402-49aa-a245-65a1b9b5260f,0
https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4,Like New Phones - Used Apple iPhone X - Silver 64 GB - PTA Approved,Apple,97999,1,5,"highly recommend...\n,  highly recommend...\n,  highly recommend...\n",cfc2f1ad-7075-41c7-ab06-89f0066afb22,0
https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4,Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved,Apple,70999,2,5,"Totally satisfied with my purchase.\n,  I got good value for money and will definitely buy from them again. The phone is in perfect condition and is a genuine product. 1111\n,  Totally satisfied with my purchase.\n,  I got good value for money and will definitely buy from them again. The phone is in perfect condition and is a genuine product. 1111\n,  Totally satisfied with my purchase.\n,  I got good value for money and will definitely buy from them again. The phone is in perfect condition and is a genuine product. 1111\n",7f9a442f-4f23-4b0e-8502-eb3ccebdaae6,0
https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4,Redmi A2+ 3GB - 64GB 5000mAh 10W fast charging 6.52” HD+ Dot Drop display PTA Approved system active,Redmi,22099,85,4.7,""" The phone is original in good condition but the delivery system of daraz is very slow, In 2 weeks i got this mobile overall its a good phone. i will recommend\n"",  Original phone seller response is satisfactory delivery is a little late but overall a good experience . Thanks seller and daraz.\n, "" mobile was box packed looks new. lets see its working .. recommended and will update this after 6months\n"",  Original product received. Good product in reasonable price.\n,  Same product as shown in description amzaing\n,  Zabardast cheez...\n,  Mashallah... Thank you so much Daraz... Good Product Zabardast Product hai.. Outstanding Thanks Daraz.....❤️ #11 11 #11.11\n,  sooooper thanks to Daraz Seller\n,  Original mobile hai tech sirat ki warranty k sath pin pack delivered in time\n",44ecaf53-72a0-4019-b357-7303ff8b2464,0
