URL,Title,Brand,Price,Rating,Scores,Reviews
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Redmi 12C 4GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY'],['Brand: RedmiMore Mobiles from Redmi'],"['Rs. 27,799\nRs. 28,000-0.7%']",['150 Ratings'],['4.4'],"['the reviews are: Redmi ke Achi product ha.Softwear update kerna ka bad performance or be best ho gya ha. .Daraz 11 11 ma double discount(22500) per muje mil gya ha . Value for money Product ha . Recommended kerta ho ap is sealer sa product la.\n', 'the reviews are: #11.11 I am thrilled with my experience. The mobile arrived in pristine condition, securely packed to ensure its safety during transit. Not only did it meet my expectations, but I also received the warranty card without any hassle. Thanks to Daraz and seller for providing a seamless shopping experience, and I highly recommend the Redmi 12C for its excellent condition and performance 11.11 Sale Once again thanks Daraz for this biggest sale\n', 'the reviews are: same as shown delivered on time. safely reached mobile to me. no damages. all okay. keep it up. recommended seller. happy shoping with draz. this is my second cell phone through draz platform🥰\n', 'the reviews are: same as shown delivered on time. safely reached mobile to me. no damages. all okay. keep it up. recommended seller. happy shoping with draz. this is my second cell phone through draz platform🥰\n', 'the reviews are: good product original Jive Shala Mera Veer Allah Barkat Deve aamin bahut Achcha discount Diya product be originally Diye ISI Tarah kam karte raho come profit mein Barkat hai thanks shahzade thanks daraz good job\n', 'the reviews are: Zabardast mobile hai aur #11.11 ki sale main buy kia hai discount b buht zabardast mila hai thanks to daraz and seller. mobile zabardast chal raha hai jaisa btya tha bilkul waisa e hai. #11.11 pay order kia aur dosray din hi deliver b ho gya maza aa gya. 😇😊\n', 'the reviews are: مجھے daraz 11.11 کی سیل میں زبردست discount ملا اور موبائل بھی اوریجنل pin pack بھی ہے شکریہ daraz میں ایک اور موبائل لینے کی سوچ رہا ہوں\n', 'the reviews are: Received the original PTA approved Mobile Phone in 11.11 camping with the discount voucher of 3500, and it is working fine, The seller is authentic and trustable, would like to order more products from this seller in future. #11.11\n', 'the reviews are: #11.11 Redmi 12c Is Best Mobile Phone In This price Range. I Like Most In This Mobile is Powerful Chipset Helio G85. And 128Gb storage. Otherwise Camera Is Average And Charging Is Quite Slow Because Of 10W Charger. First Time I Bought Mobile From Daraz. Good Experience But Delivery Is Late. But Thanks Daraz For Amazing Sales And Discounts. 👍❤\n']"
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Like New Phones - Used Apple iPhone X - Silver 256 GB - PTA Approved'],['Brand: AppleMore Like New Phones from Apple'],"['Rs. 106,999\nRs. 119,000-10%']",['1 Ratings'],['5.0'],"['the reviews are: Received as promised almost 10/10 condition genuine phone with genuine parts no issue found. Thanks will buy again in shaa allah\n', 'the reviews are: Received as promised almost 10/10 condition genuine phone with genuine parts no issue found. Thanks will buy again in shaa allah\n', 'the reviews are: Received as promised almost 10/10 condition genuine phone with genuine parts no issue found. Thanks will buy again in shaa allah\n']"
"['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4', 'https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4']","['Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty', None]","['Brand: No BrandMore Mobiles from No Brand', None]","['Rs. 32,999', None]","['82 Ratings', '133 Answered Questions']",['4.1'],"['the reviews are: #11.11 PTA approved device received safely. Mobile battery was low and required charging before getting on.\n', 'the reviews are: everything is perfect colour b same aya..😇 I am so happy thanks Daraz ..❤ highly recommended... 👌👍\n', 'the reviews are: good mobile same as shown in the picture 😺 reviews dekh ky tu dar gaya tha but ❤️ genuine product hy pin pack pta approved and non active\n', ""the reviews are: I get the mobile its pta approved but made of Vietnam also its doesn't have charger that's the negative point , get the mobile on discounted rate in #11.11 . hopefully it will work for a long time 😃\n"", ""the reviews are: phone was brand new, box packed, came in secure packaging,can't see the PTA sticker,, but seller said it is approved,, so i believe seller words😊.\n"", 'the reviews are: Got this in just Rs.26419 while market price is still Rs.30000. Thanks to Daraz 11.11 Exactly same as described. delivered in just 2 days. its my 4th cell phone purchase from Daraz. Amazing experience as always\n', 'the reviews are: Yr bht he sasta mila sale mai market mai 35 ka hai 128gb or wholesale mai bhi 31 se kam mai nahi hai or dosra non active hai vip hogia mene online check kia hai original packing mai tha thanks bhai jan\n', 'the reviews are: Buhat Acha Mobile hai 100% Original products thanks Daraz Thanks seller\n', 'the reviews are: Mobile is the same as shown in the picture... Original product. Charger not available in the box.Satisfied with the product but delivery was far away from expectations\n']"
"['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4', 'https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4']","['Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty', None]","['Brand: No BrandMore Mobiles from No Brand', None]","['Rs. 64,499', None]","['132 Ratings', '202 Answered Questions']",['4.7'],"['the reviews are: I got what was shown, but I want to tell about the seller that my chat was not responded even after a couple of days, so please make your availability there so that the customer can place the order with full sitesify. Because the amount matters But my goal was to buy the product from there, so I took what I have and it is 💯 %authentic, and the warranty has not started yet, But the handsfree did not come out of the box, maybe not provided by the company. So the Overall experience was great and the seller is highly recommended. Thanks Daraz & Seller.🥰\n', 'the reviews are: Great Experience as usual and I have purchased many mobiles from DARAZ but this time get maximum discount in 11/11 Sales on Note 30 pro\n', 'the reviews are: Allahamdolilah received📩 mobile is original and new as mentioned recommended for buying. same thing which is ordered rather late delivered\n', 'the reviews are: Acha mobile hai and same cheez delivered ki hai with fast delivery service, satisfied with daraz and seller, i bought many mobiles from daraz aj tak koi b mobile kharab nhe nikla, thanks daraz for maintenance of trust with customers. love from Rawalpindi\n', 'the reviews are: Allahamdolilah received📩 mobile is original and new as mentioned recommended for buying. same thing which is ordered rather late delivered\n', 'the reviews are: I received my parcel two days ago. genuine products hai ❤️❤️aur time pr delivered hua.😍 Dill khush ho gia cell dekh kr thank you so much bhai🥰\n', 'the reviews are: buht acha phone ha original phone one year official warranty ha ❤❤\n', 'the reviews are: real mobile set with complete box having wire charger wireless charger. jack pin with non active phone set. this is non active mobile set. i really very happy. thanks dear\n', 'the reviews are: bahot acha mobile hy thanks daraz and seller\n']"
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Tecno CAMON 20 8GB RAM-256GB ROM 5000MAH BATTERY PTA APPROVED OFFICIAL BRAND WARRANTY'],['Brand: TecnoMore Mobiles from Tecno'],"['Rs. 48,599\nRs. 49,999-3%']",['257 Ratings'],['4.6'],"['the reviews are: Mobile received 2 days before delivery date. Mobile has all accessories. Mobile is looking good. But the warranty card has no information about Mobile (like IMEI number, purchase date, etc.)\n', 'the reviews are: looks original proper pinpacked\n', 'the reviews are: The Product is original and branded, The quality is best. Thanks Daraz.\n', 'the reviews are: The cell phone is too good, the delivery service late. Good phone at this price. purchase on Installment by standard chartered Bank, at 3 equal installments without any mark up. Store coupon also used, after its final price was 44000\n', 'the reviews are: Firstly the Seller Was Non Responsive Nearly After Ten Days I Got the Response From Him, Then k Delivery Was Very Late, Waited For Nearly 12 Days But The Product Was Amazing, Box Was Pin Packed & Got the Same Color, the Seller Is Trustable & I Got This Phone On 11/11 Sale In Just 42500 Where As the Market Price Is 47000. This Phone Outclassed other Phones & Brands. The Specifications Are Amazing In this Pricetag, No Any Other Brand Offer These Specifications in Price. Value For Money Product,\n', 'the reviews are: “I am thoroughly impressed with the Tecno mobile I received. It’s not only a wonderful phone in terms of performance but also the seller’s attention to detail is much appreciated. The phone arrived with the seal intact, which reflects the seller’s commitment to delivering quality and genuine products. This not only gives me confidence in the authenticity of the device but also in the seller’s reliability. The phone itself has exceeded my expectations, offering great features and performance.\n', 'the reviews are: I had an amazing experience with this store! The customer service was top-notch, and the product exceeded my expectations. I highly recommend them to anyone looking for quality products and excellent service.\n', ""the reviews are: seller didn't mark stamp on warranty card . when its warranty has started and when to end? how to claim its warranty if any issue happens but product received new and boxed pack.\n"", ""the reviews are: The product was delivered same as per it's description, Item was Delivered in given time. excellent 💯 product in this price. Thanks to Seller Tecno and Thanks to Draz.\n""]"
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - Black 64 GB - PTA Approved'],['Brand: AppleMore Like New Phones from Apple'],"['Rs. 70,999\nRs. 79,000-10%']",['2 Ratings'],['3.0'],"['the reviews are: awesome condition...very light and tiny scratch....91 percent battery...\n', 'the reviews are: awesome condition...very light and tiny scratch....91 percent battery...\n', 'the reviews are: awesome condition...very light and tiny scratch....91 percent battery...\n']"
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery'],['Brand: XiaomiMore Mobiles from Xiaomi'],"['Rs. 22,499\nRs. 24,999-10%']",['357 Ratings'],['4.7'],"['the reviews are: achhi packing but charging adapter was normal no handsfree no protector no mobile cover baqi use kr ke pta chalay ga dekhnay nice hai\n', 'the reviews are: Alhamdulillah same recieved as shown in picture. Same specifications A1 condition and fast delivery. Thanks Daraz. i recmond it and i order one more.\n', 'the reviews are: mobile is just go0d. average in use.. bettery timing is go0d.. camera is just average. overall ghar use k lia thek hai jaha bs call waghaira k lia instmal hota ho\n', ""the reviews are: I upgraded my stand by phone from A1+ to A2+. I received this phone in great packaging. Delivery was fast. Phone seems a little better than A1+. I wish it would have Type C charging. I'm surprised to see the camera quality, display and battery timing of this phone. A perfect phone in this range with very few compromises. Highly recommended.\n"", 'the reviews are: Assalamu Alaikum, Thank God & Thanks Daraz Team & Wander/seller (XIAOMI). Good Packing & Short Delivery time. Original Product 100%. Recommended. Khushe hai ke AAZADI SALE mai itny Best Price main Redmi A2+ Offer kiya gya, Thanks Daraz app.\n', 'the reviews are: I recently ordered a phone , and I must say it was a convenient experience. The website had a user-friendly interface, making it easy to browse and compare options. Placing the order was straightforward, and they provided clear shipping information. The phone arrived in good condition and on time. Overall, a hassle-free online phone shopping experience.\n', 'the reviews are: received my order .The product is very good .I am satisfied with Daraz and the seller response is good .But LCS service is poor due to not deliver my parcel to me not to inform me and delivered my parcel any other address.\n', 'the reviews are: Very good quality and design. Mobile is genuine and working fine so far. Delivery was quite quick and I received the mobile next day of ordering. price was competitive with market. thank you Daraz.\n', 'the reviews are: Genuine product and good cell phone in this range .. got at the lowest price through HBL Mega Deal 👍 .. Properly packed and timely delivered .. Satisfied with the seller 🙂 .. Cheers 🙂 !! #11.11\n']"
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Like New Phones - Used Apple iPhone X - Silver 64 GB - PTA Approved'],['Brand: AppleMore Like New Phones from Apple'],"['Rs. 97,999\nRs. 109,000-10%']",['1 Ratings'],['5.0'],"['the reviews are: highly recommend...\n', 'the reviews are: highly recommend...\n', 'the reviews are: highly recommend...\n']"
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Like New Phones - Used Apple iPhone SE 2nd Gen (2020) - White 64 GB - PTA Approved'],['Brand: AppleMore Like New Phones from Apple'],"['Rs. 70,999\nRs. 79,000-10%']",['2 Ratings'],['5.0'],"['the reviews are: Totally satisfied with my purchase.\n', 'the reviews are: I got good value for money and will definitely buy from them again. The phone is in perfect condition and is a genuine product. 1111\n', 'the reviews are: Totally satisfied with my purchase.\n', 'the reviews are: I got good value for money and will definitely buy from them again. The phone is in perfect condition and is a genuine product. 1111\n', 'the reviews are: Totally satisfied with my purchase.\n', 'the reviews are: I got good value for money and will definitely buy from them again. The phone is in perfect condition and is a genuine product. 1111\n']"
['https://www.daraz.pk/catalog/?q=mobile+phone&_keyori=ss&from=input&spm=a2a0e.home.search.go.35e34076eMvOJ4'],['Redmi A2+ 3GB - 64GB 5000mAh 10W fast charging 6.52” HD+ Dot Drop display PTA Approved system active'],['Brand: RedmiMore Mobiles from Redmi'],"['Rs. 22,099\nRs. 22,999-4%']",['85 Ratings'],['4.7'],"[""the reviews are: The phone is original in good condition but the delivery system of daraz is very slow, In 2 weeks i got this mobile overall it's a good phone. i will recommend\n"", 'the reviews are: Original phone seller response is satisfactory delivery is a little late but overall a good experience . Thanks seller and daraz.\n', ""the reviews are: mobile was box packed looks new. let's see it's working .. recommended and will update this after 6months\n"", 'the reviews are: Original product received. Good product in reasonable price.\n', 'the reviews are: Same product as shown in description amzaing\n', 'the reviews are: Zabardast cheez...\n', 'the reviews are: Mashallah... Thank you so much Daraz... Good Product Zabardast Product hai.. Outstanding Thanks Daraz.....❤️ #11 11 #11.11\n', 'the reviews are: sooooper thanks to Daraz Seller\n', 'the reviews are: Original mobile hai tech sirat ki warranty k sath pin pack delivered in time\n']"
